Type,Name,Amount,Unit,Cost,Cost Unit,Supplier
"fermentable","Product Quantity Weight Price Line Total Brewers Clarity 0.5g x 5 - Reduces Gluten and Chill Haze","0","kg","0","GBP","Malt Miller"
"hop","Chinook Whole Hops 100g-CF","899.9999999999999","g","0.0265","GBP","Malt Miller"
"hop","Citra® - BarthHaas® Pure Hop Pellets - 100g","400","g","0.0458","GBP","Malt Miller"
"misc","Duotight 8mm (5/16) x Ball Lock Disconnect - (Grey + Red Gas) 4 Pack","200","g","0.115","GBP","Malt Miller"
"fermentable","Simpsons Malt - Finest Pale Ale Golden Promise 25kg Sack Crushed?: Uncrushed Split?: 5x5kg","27","kg","1.7337","GBP","Malt Miller"
"yeast","WLP001 California Ale Yeast - PurePitch® Next Generation BB: 12/05/2025","0.8","pkg","17.4375","GBP","Malt Miller"
"fermentable","Simpsons Malt - Golden Naked Oats® Crushed?: Uncrushed","4000","kg","0.0016","GBP","Malt Miller"
"misc","Brewing Sugar (Dextrose) 2kg","2000","g","0.0023","GBP","Malt Miller"
"fermentable","Page 1 of 2 The Malt Miller Ltd is a company registered in England and Wales. Registration No. NUMBER | EORI No. GB121123089000 | AWRS XQAW00000114959 | IOSS IM2500004423 Product Quantity Weight Price Line Total Crisp Maltings - Flaked Torrefied Barley Crushed?: Uncrushed","4000","kg","0.0011","GBP","Malt Miller"
"hop","Azacca Whole Hops 100g-CF","400","g","0.0248","GBP","Malt Miller"
"hop","Galaxy® - BarthHaas® Pure Hop Pellets - 100g","400","g","0.0413","GBP","Malt Miller"
"hop","Mosaic Whole Hops 100g-CF","100","g","0.0979","GBP","Malt Miller"
"hop","Simcoe - T90 Pellets 100g-SP","899.9999999999999","g","0.0298","GBP","Malt Miller"
"hop","Cascade Whole Hops 100g-CF","100","g","0.0775","GBP","Malt Miller"
"hop","Amarillo Whole Hops 100g-CF","400","g","0.0428","GBP","Malt Miller"
"hop","Goldings (East Kent) Whole Hops 100G-CF","100","g","0.0615","GBP","Malt Miller"
